video_index,video_path,processing_count,total_processing_time,avg_total_processing_time,total_test_time,face_detection_time,face_tracking_time,roi_selection_time,signal_extraction_time,signal_extraction_preprocess_time,signal_extraction_inference_time,hr_extraction_time,avg_face_detection_time,avg_face_tracking_time,avg_roi_selection_time,avg_signal_extraction_time,avg_signal_extraction_preprocess_time,avg_signal_extraction_inference_time,avg_hr_extraction_time,detected_faces,total_processed_faces,success,heart_rates,heart_rates_frame_idx,error_message,timestamp
0,/home/pme/ta/data/camera/00/video_00_20250503_152120.npy,1797,35.64944815635681,19.83831283047124,35.94227480888367,34.72186827659607,0.1856846809387207,0.37527894973754883,0.31018829345703125,0.11479640007019043,0.19528627395629883,0.016800880432128906,19.3221303709494,0.1033303733660104,0.20883636601978234,51.69804890950521,19.13273334503174,32.547712326049805,2.800146738688151,1,6,True,"{""0"":[84.375;105.46875;63.28125;91.40625;98.4375;98.4375]}","{""0"":[179;483;784;1077;1380;1684]}",,2025-07-02T02:11:56.109419
1,/home/pme/ta/data/camera/01/video_01_20250503_152345.npy,1796,36.40177369117737,20.268248157671138,36.690922498703,35.596943616867065,0.19051790237426758,0.23408985137939453,0.32374072074890137,0.11958003044128418,0.2040712833404541,0.01607227325439453,19.820124508277875,0.10607901023066123,0.13033956090166732,53.95678679148356,19.930005073547363,34.01188055674235,2.6787122090657554,1,6,True,"{""0"":[98.4375;91.40625;63.28125;77.34375;77.34375;112.5]}","{""0"":[179;483;781;1063;1356;1645]}",,2025-07-02T02:12:39.281431
2,/home/pme/ta/data/camera/02/video_02_20250503_152754.npy,1796,37.10246014595032,20.65838538193225,37.398874282836914,36.28686857223511,0.19422149658203125,0.2049107551574707,0.3581111431121826,0.13115644454956055,0.22687649726867676,0.017298460006713867,20.204269806366987,0.10814114509021784,0.11409284808322422,59.685190518697105,21.859407424926758,37.81274954477946,2.8830766677856445,1,6,True,"{""0"":[77.34375;98.4375;77.34375;105.46875;98.4375;98.4375]}","{""0"":[179;473;769;1047;1331;1617]}",,2025-07-02T02:13:32.653454
3,/home/pme/ta/data/camera/03/video_03_20250503_153102.npy,1796,39.07932233810425,21.759088161527977,39.391358375549316,37.2106773853302,0.2509653568267822,0.8126025199890137,0.7160725593566895,0.2823464870452881,0.43358564376831055,0.033535003662109375,20.718639969560247,0.13973572206390994,0.45245129175334836,59.67271327972412,23.528873920440674,36.13213698069254,2.7945836385091147,2,12,True,"{""0"":[98.4375;105.46875;98.4375;77.34375;77.34375;84.375];""1"":[77.34375;126.5625;91.40625;105.46875;98.4375;112.5]}","{""0"":[179;455;732;1001;1272;1545];""1"":[179;455;732;1001;1272;1545]}",,2025-07-02T02:14:29.349420
4,/home/pme/ta/data/camera/04/video_04_20250503_153508.npy,1796,37.959031105041504,21.135317987216872,38.26280879974365,36.5235333442688,0.2472515106201172,0.44823408126831055,0.6501381397247314,0.24355530738830566,0.40644168853759766,0.036307573318481445,20.336043064737638,0.13766787896443053,0.2495735419088589,54.17817831039429,20.29627561569214,33.87014071146647,3.0256311098734536,2,12,True,"{""0"":[63.28125;112.5;77.34375;84.375;91.40625;91.40625];""1"":[70.3125;105.46875;112.5;63.28125;77.34375;70.3125]}","{""0"":[179;468;756;1025;1308;1587];""1"":[179;468;756;1025;1308;1587]}",,2025-07-02T02:15:25.449396
5,/home/pme/ta/data/camera/05/video_05_20250503_153825.npy,1796,38.22789216041565,21.28501790669023,38.54534339904785,36.82538080215454,0.23868489265441895,0.3468804359436035,0.7254610061645508,0.28678202629089355,0.4385337829589844,0.03453421592712402,20.50410957803705,0.13289804713497713,0.1931405545343004,60.4550838470459,23.898502190907795,36.544481913248696,2.8778513272603354,2,12,True,"{""0"":[70.3125;84.375;84.375;77.34375;98.4375;91.40625];""1"":[77.34375;77.34375;91.40625;70.3125;70.3125;91.40625]}","{""0"":[179;466;749;1014;1293;1569];""1"":[179;466;749;1014;1293;1569]}",,2025-07-02T02:16:21.885422
6,/home/pme/ta/data/camera/06/video_06_20250503_154102.npy,1796,39.97804355621338,22.259489730631056,40.2888765335083,37.030295848846436,0.30468297004699707,1.2332205772399902,1.2670068740844727,0.48335695266723633,0.7834022045135498,0.06055712699890137,20.618204815616053,0.1696453062622478,0.6866484283073442,60.33366067068918,23.016997746058873,37.304866881597604,2.8836727142333984,3,21,True,"{""0"":[119.53125;98.4375;119.53125;91.40625;98.4375;91.40625;77.34375];""1"":[98.4375;70.3125;105.46875;77.34375;70.3125;91.40625;105.46875];""2"":[98.4375;84.375;56.25;70.3125;119.53125;98.4375;126.5625]}","{""0"":[179;456;726;994;1252;1519;1783];""1"":[179;456;726;994;1252;1519;1783];""2"":[179;456;726;994;1252;1519;1783]}",,2025-07-02T02:17:20.069411
7,/home/pme/ta/data/camera/07/video_07_20250503_154629.npy,1796,39.950252532958984,22.24401588694821,40.233479499816895,37.49674916267395,0.31079721450805664,0.6999895572662354,1.2931649684906006,0.4973280429840088,0.7955889701843262,0.0657963752746582,20.877922696366344,0.1730496740022587,0.3897491966961221,61.57928421383813,23.682287761143275,37.885189056396484,3.133160727364676,3,21,True,"{""0"":[84.375;70.3125;91.40625;98.4375;105.46875;112.5;77.34375];""1"":[105.46875;105.46875;77.34375;77.34375;91.40625;77.34375;70.3125];""2"":[77.34375;84.375;91.40625;77.34375;70.3125;77.34375;77.34375]}","{""0"":[179;452;721;991;1248;1516;1787];""1"":[179;452;721;991;1248;1516;1787];""2"":[179;452;721;991;1248;1516;1787]}",,2025-07-02T02:18:18.177454
8,/home/pme/ta/data/camera/08/video_08_20250503_155339.npy,1796,43.802616357803345,24.388984609021907,44.1159782409668,41.45284295082092,0.30739450454711914,0.5343632698059082,1.3555245399475098,0.5337624549865723,0.8215065002441406,0.06978154182434082,23.0806475227288,0.1711550693469483,0.29752966024827854,64.54878761654808,25.417259761265345,39.119357154482884,3.3229305630638484,3,21,True,"{""0"":[56.25;63.28125;126.5625;77.34375;91.40625;84.375;70.3125];""1"":[70.3125;77.34375;105.46875;98.4375;105.46875;112.5;98.4375];""2"":[84.375;56.25;91.40625;91.40625;98.4375;105.46875;70.3125]}","{""0"":[179;429;675;919;1150;1395;1631];""1"":[179;429;675;919;1150;1395;1631];""2"":[179;429;675;919;1150;1395;1631]}",,2025-07-02T02:19:20.197427
9,/home/pme/ta/data/camera/09/video_09_20250503_155545.npy,1796,41.18692874908447,22.932588390358838,41.48963665962219,37.14689493179321,0.3920783996582031,1.5738792419433594,1.849158525466919,0.7126824855804443,1.1361255645751953,0.10067987442016602,20.68312635400513,0.21830645860701733,0.876324744957327,66.04137590953282,25.452945913587296,40.57591302054269,3.595709800720215,4,28,True,"{""0"":[70.3125;91.40625;84.375;84.375;105.46875;91.40625;63.28125];""1"":[98.4375;63.28125;98.4375;84.375;91.40625;70.3125;98.4375];""2"":[105.46875;84.375;70.3125;70.3125;105.46875;77.34375;77.34375];""3"":[70.3125;119.53125;105.46875;91.40625;91.40625;84.375;91.40625]}","{""0"":[179;451;712;971;1219;1477;1736];""1"":[179;451;712;971;1219;1477;1736];""2"":[179;451;712;971;1219;1477;1736];""3"":[179;451;712;971;1219;1477;1736]}",,2025-07-02T02:20:19.601437
